n1,n2,command,mean,stddev,median,user,system,min,max
10,10,./main < seq_tmp.txt,0.0072120338160409515,0.0013399674421935867,0.007555842700000002,0.004459228668941974,0.002729990307167235,0.0005557867000000015,0.008499290700000002
11,11,./main < seq_tmp.txt,0.007255487316949155,0.0017923059821864226,0.0078657849,0.004613161423728813,0.0026141562033898296,0.0008100598999999996,0.0080196659
12,12,./main < seq_tmp.txt,0.006929710745116282,0.001831233106631649,0.00757866128,0.004588211046511629,0.002419542441860466,0.0005052702799999997,0.00776016528
13,13,./main < seq_tmp.txt,0.006291406088711658,0.0021394256269815256,0.00719061922,0.0041337668220858955,0.0022882190184049084,0.00011074021999999935,0.008264064219999999
14,14,./main < seq_tmp.txt,0.007438411416433128,0.0016829354452849784,0.00803115834,0.005119481104033967,0.0023711580467091283,0.00099725234,0.008231618340000002
15,15,./main < seq_tmp.txt,0.0070276232319540196,0.0021751066726975136,0.008013604640000001,0.004545436666666668,0.002513934942528736,0.0009669696400000003,0.00822170164
16,16,./main < seq_tmp.txt,0.007286360425540539,0.0014098423980738331,0.00762717276,0.004829752432432434,0.0025085702702702713,0.0006572257599999996,0.00780091976
17,17,./main < seq_tmp.txt,0.006480791257046976,0.002255052881644688,0.007550343700000001,0.004228345570469799,0.0023273777181208057,0.0005549787000000009,0.007701871700000001
18,18,./main < seq_tmp.txt,0.007734318133602696,0.00005754285717869387,0.007726055440000001,0.004921652255892255,0.0027934026262626276,0.0076000604400000005,0.00807080744
19,19,./main < seq_tmp.txt,0.005492236676891894,0.002134928697584625,0.006466209480000001,0.0032554598648648664,0.002458696959459459,0,0.006713681480000001
20,20,./main < seq_tmp.txt,0.005506205580707068,0.0019993206837051925,0.00634973124,0.0036848093939393905,0.0021056228535353528,0,0.006555346739999999
21,21,./main < seq_tmp.txt,0.006409447653853214,0.0017839028251669003,0.00707711178,0.00419015243119266,0.0023803435779816517,0.00005747928000000022,0.0072847462800000005
22,22,./main < seq_tmp.txt,0.006965340606127945,0.0017122527848693393,0.007548671659999999,0.004684188888888889,0.0024007058585858595,0.0007176006599999996,0.007768795659999999
23,23,./main < seq_tmp.txt,0.007310277134169647,0.0018392840912050813,0.0079589649,0.004904552066905609,0.00244739221027479,0.0008992008999999996,0.0081457339
24,24,./main < seq_tmp.txt,0.00695653041735537,0.001488653396996612,0.0073813293,0.004791338876033055,0.0022758061487603318,0.0004489133000000001,0.007538276300000001
25,25,./main < seq_tmp.txt,0.0074046559883732006,0.0018837229757257198,0.008056895980000001,0.004824954497607655,0.002586414258373205,0.0009925284799999997,0.00824184748
26,26,./main < seq_tmp.txt,0.00633868098809365,0.0009612690767212019,0.006513888520000002,0.004004069297658862,0.0024810347826086957,0,0.006682590520000002
